Token,"Price ($) as 01 Apr, 09:30 AM UTC",Reported Market Cap,Released Percentage (The percentage of supply released compared to max supply),Upcoming Unlock Value
FET,0.236,$532.99M,80.41%,$629.19K
DICE,0.000879,-,69.68%,$879.32
AGIX,0.102,$25.20M,79.50%,$629.43K
SIGN,0.032,$52.68M,19.30%,$12.89M
SOPH,0.008174,$25.76M,30.34%,$205.44K
JUP,0.162,$574.04M,51.89%,$8.65M
TREE,0.059,$9.24M,33.78%,$388.85K
BIM,2.17,$34.18M,88.42%,$74.58K
MILK,0.000528,$137.22K,23.21%,$5.78K
BASED,0.088,$20.61M,24.00%,$440.51K
PRIME,0.31,$19.03M,48.76%,$136.68K
FLOCK,0.051,$17.19M,35.21%,$831.63K
ZORA,0.014,$61.86M,46.67%,$2.31M
REZ,0.003301,$26.66M,73.88%,$1.06M
KMNO,0.017,$72.65M,70.21%,$3.90M
GUN,0.017,$27.74M,20.84%,$5.94M
MANTA,0.062,$29.07M,60.70%,$115.85K
KUB,0.826,$56.97M,87.75%,$1.76M
DYDX,0.105,$87.80M,75.29%,$438.25K
GPS,0.009255,$40.79M,39.58%,$1.54M
NUM,0.004432,$3.91M,76.68%,$19.50K
SIDUS,0.000081,$900.56K,77.08%,$12.71K
SKL,0.006987,$42.38M,87.29%,$112.08K
AI,0.018,$2.31M,52.56%,$293.61K
SUI,0.892,$3.47B,39.05%,$38.03M
VITA,0.229,$5.93M,38.96%,$188.27K
ZETA,0.047,$64.82M,62.57%,$2.10M
EIGEN,0.167,$114.96M,29.18%,$6.15M
