Token,"Price ($) as of 01 June, 07:15 AM UTC",Reported Market Cap,Released %,Upcoming Unlock Value
TREE,0.062,$9.69M,37.24%,$407.20K
MILK,0.000059,$15.46K,26.74%,$651.47
PRIME,0.325,$20.28M,49.56%,$143.40K
FLOCK,0.055,$21.36M,40.06%,$899.33K
NUM,0.003698,$3.34M,78.00%,$16.27K
ZORA,0.011,$47.44M,50.00%,$1.77M
OP,0.117,$252.29M,49.26%,$3.67M
REZ,0.004094,$35.27M,77.92%,$341.16K
KMNO,0.019,$88.04M,74.79%,$4.26M
GUN,0.007832,$17.72M,27.93%,$2.78M
MANTA,0.076,$36.41M,63.88%,$142.75K
BMEX,0.077,$7.63M,91.67%,$239.06K
GPS,0.007615,$33.62M,42.91%,$5.40M
MAV,0.013,$12.50M,47.13%,$488.79K
SIDUS,0.00001,$110.92K,78.13%,$1.57K
SKL,0.005751,$35.06M,88.46%,$92.26K
AI,0.028,$3.58M,55.87%,$458.02K
SPEC,0.074,$1.52M,57.59%,$266.86K
SUI,0.883,$3.56B,40.10%,$12.11M
ZETA,0.049,$72.61M,67.20%,$2.19M
EIGEN,0.21,$156.72M,33.58%,$7.75M
